rating, title, text, asin, parent_asin, user_id, timestamp, helpful_vote, verified_purchase, data, time
4, B Complex in gel cap form, I bought this along with Vit C in gel cap form..., B00012ND5G, B00012ND5G, AGDVFFLJWAQ3ULNNKF4LXID2RVSQ, 2009-12-11 00:37:33, 1, True, 2009-12-11, 00:37
5, Five Stars, great product, B00013Z0ZQ, B00013Z0ZQ, AG3BSKXHDGP6E3EGQD2SXCK6KFQQ, 2015-01-04 03:11:26, 0, True, 2015-01-04, 03:11
5, Five Stars, Came as expectedly, B00013Z0ZQ, B00013Z0ZQ, AHG2WKFD4LXPC46WWC6JMQGX52JA, 2015-09-27 19:15:33, 0, True, 2015-09-27, 19:15
4, Vitamin D3, Helps maintain healthy bones, B00012ND5G, B00012ND5G, AGDVFFLJWAQ3ULNNKF4LXID2RVSQ, 2009-12-11 00:37:33, 1, True, 2009-12-11, 00:37
5, Five Stars, Best supplement for bone health, B00013Z0ZQ, B00013Z0ZQ, AG3BSKXHDGP6E3EGQD2SXCK6KFQQ, 2015-01-04 03:11:26, 0, True, 2015-01-04, 03:11
5, Five Stars, Great choice for overall health, B00013Z0ZQ, B00013Z0ZQ, AHG2WKFD4LXPC46WWC6JMQGX52JA, 2015-09-27 19:15:33, 0, True, 2015-09-27, 19:15
4, Omega-3 Fish Oil, Supports heart health, B00012ND5G, B00012ND5G, AGDVFFLJWAQ3ULNNKF4LXID2RVSQ, 2009-12-11 00:37:33, 1, True, 2009-12-11, 00:37
5, Five Stars, Excellent quality, B00013Z0ZQ, B00013Z0ZQ, AG3BSKXHDGP6E3EGQD2SXCK6KFQQ, 2015-01-04 03:11:26, 0, True, 2015-01-04, 03:11
5, Five Stars, Reliable source of nutrients, B00013Z0ZQ, B00013Z0ZQ, AHG2WKFD4LXPC46WWC6JMQGX52JA, 2015-09-27 19:15:33, 0, True, 2015-09-27, 19:15
5, Probiotic Capsules, Supports digestive and immune system., B0001N2H2P, B0001N2H2P, AH56G2L5G2T5P5G23L5Q45Q32A, 2017-08-10 11:00:00, 0, True, 2017-08-10, 11:00
